id,index,width,unihex,height,xoffset,yoffset,xadvance,chnl,x,y,page
87,58,106,U0057,87,-11,32,85,15,0,0,0
119,90,106,U0077,87,-11,32,85,15,107,0,0
124,95,30,U007C,103,10,32,50,15,214,0,0
81,52,84,U0051,102,-5,32,63,15,0,88,0
113,84,84,U0071,102,-5,32,63,15,85,88,0
36,7,64,U0024,99,-3,28,58,15,170,104,0
82,53,80,U0052,96,-7,32,60,15,0,191,0
114,85,80,U0072,96,-7,32,60,15,81,191,0
38,9,82,U0026,95,-5,32,67,15,162,204,0
125,96,49,U007D,91,-5,30,41,15,235,104,0
41,12,41,U0029,91,-3,30,41,15,245,0,0
40,11,41,U0028,91,4,30,41,15,0,288,0
123,94,49,U007B,91,-3,30,41,15,42,288,0
56,27,64,U0038,88,-3,32,58,15,92,288,0
57,28,62,U0039,88,-2,32,58,15,92,377,0
115,86,67,U0073,88,-5,32,54,15,0,380,0
79,50,74,U004F,88,-5,32,63,15,68,466,0
66,37,71,U0042,88,-7,32,59,15,0,555,0
67,38,65,U0043,88,-5,32,55,15,0,644,0
68,39,75,U0044,88,-7,31,62,15,0,733,0
71,42,71,U0047,88,-5,32,59,15,66,644,0
121,92,76,U0079,88,-11,32,53,15,72,555,0
120,91,78,U0078,88,-10,31,58,15,143,466,0
47,18,54,U002F,88,-3,32,48,15,155,377,0
83,54,67,U0053,88,-5,32,54,15,210,300,0
92,63,54,U005C,88,-3,32,48,15,245,196,0
88,59,78,U0058,88,-10,31,58,15,285,92,0
89,60,76,U0059,88,-11,32,53,15,287,0,0
111,82,74,U006F,88,-5,32,63,15,0,822,0
98,69,71,U0062,88,-7,32,59,15,0,911,0
99,70,65,U0063,88,-5,32,55,15,72,911,0
100,71,75,U0064,88,-7,31,62,15,75,822,0
103,74,71,U0067,88,-5,32,59,15,76,733,0
65,36,77,U0041,87,-11,32,56,15,138,644,0
49,20,49,U0031,87,2,32,58,15,149,555,0
50,21,62,U0032,87,-2,33,58,15,199,555,0
51,22,60,U0033,87,-1,33,58,15,148,732,0
69,40,67,U0045,87,-7,32,54,15,138,911,0
70,41,61,U0046,87,-7,32,47,15,151,820,0
52,23,64,U0034,87,-4,32,58,15,209,732,0
72,43,85,U0048,87,-10,32,68,15,216,643,0
73,44,42,U0049,87,-7,32,28,15,206,908,0
74,45,66,U004A,87,-7,32,51,15,213,820,0
75,46,80,U004B,87,-7,32,63,15,274,731,0
76,47,64,U004C,87,-7,32,50,15,249,908,0
77,48,86,U004D,87,-9,32,68,15,280,819,0
78,49,77,U004E,87,-7,32,63,15,314,907,0
53,24,62,U0035,87,-2,32,58,15,222,389,0
80,51,66,U0050,87,-7,32,51,15,278,285,0
54,25,63,U0036,87,-2,32,58,15,300,181,0
55,26,64,U0037,87,0,32,58,15,262,477,0
37,8,87,U0025,87,-5,32,76,15,285,373,0
84,55,70,U0054,87,-7,32,57,15,345,269,0
85,56,76,U0055,87,-8,32,60,15,302,565,0
86,57,79,U0056,87,-11,32,57,15,327,461,0
35,6,73,U0023,87,-8,32,58,15,373,357,0
118,89,79,U0076,87,-11,32,57,15,355,653,0
117,88,76,U0075,87,-8,32,60,15,379,549,0
112,83,66,U0070,87,-7,32,51,15,407,445,0
91,62,42,U005B,87,-1,32,40,15,367,741,0
93,64,42,U005D,87,-1,32,40,15,392,829,0
116,87,70,U0074,87,-7,32,57,15,410,741,0
110,81,77,U006E,87,-7,32,63,15,435,637,0
109,80,86,U006D,87,-9,32,68,15,456,533,0
97,68,77,U0061,87,-11,32,56,15,392,917,0
33,4,36,U0021,87,-2,32,32,15,435,829,0
48,19,69,U0030,87,-5,32,58,15,470,917,0
63,34,58,U003F,87,-5,32,48,15,472,829,0
101,72,67,U0065,87,-7,32,54,15,481,725,0
102,73,61,U0066,87,-7,32,47,15,531,813,0
64,35,82,U0040,87,-5,32,71,15,513,621,0
104,75,85,U0068,87,-10,32,68,15,549,709,0
105,76,42,U0069,87,-7,32,28,15,540,901,0
106,77,66,U006A,87,-7,32,51,15,583,901,0
107,78,80,U006B,87,-7,32,63,15,593,797,0
108,79,64,U006C,87,-7,32,50,15,650,885,0
90,61,70,U005A,86,-9,33,54,15,364,0,0
122,93,70,U007A,86,-9,33,54,15,364,87,0
62,33,63,U003E,71,-7,40,50,15,0,469,0
60,31,63,U003C,71,-7,40,50,15,364,174,0
59,30,35,U003B,70,-3,56,29,15,222,477,0
95,66,70,U005F,29,-10,105,50,15,314,995,0
126,97,68,U007E,37,-1,25,67,15,650,973,0
94,65,67,U005E,52,-8,32,50,15,416,246,0
58,29,35,U003A,63,-3,56,29,15,262,565,0
61,32,63,U003D,49,-3,51,58,15,416,299,0
43,14,63,U002B,63,-3,44,58,15,428,174,0
34,5,49,U0022,48,-5,32,38,15,157,300,0
42,13,47,U002A,47,-5,32,38,15,302,653,0
96,67,43,U0060,36,4,14,50,15,447,349,0
45,16,40,U002D,28,-10,62,20,15,302,701,0
44,15,35,U002C,39,-3,86,29,15,480,299,0
46,17,35,U002E,33,-3,86,29,15,540,989,0
32,3,0,U0020,0,-10,99,25,15,148,820,0
